 2024-01-25 20:39:32,521 - 'c'
 2024-01-25 20:39:32,672 - 'x'
 2024-01-25 20:39:32,682 - 'b'
 2024-01-25 20:39:32,896 - 'v'
 2024-01-25 20:39:33,048 - 'b'
 2024-01-25 20:39:33,199 - 'v'
 2024-01-25 20:39:33,209 - 'c'
 2024-01-25 20:39:33,350 - 'b'
 2024-01-25 20:39:33,461 - 'v'
 2024-01-25 20:39:33,462 - 'c'
 2024-01-25 20:39:33,576 - 'b'
 2024-01-25 20:39:33,687 - 'c'
 2024-01-25 20:39:33,727 - 'v'
 2024-01-25 20:39:33,886 - Key.space
 2024-01-25 20:39:33,997 - 'c'
 2024-01-25 20:39:34,789 - 'c'
 2024-01-25 20:39:35,187 - 'c'
 2024-01-25 20:39:35,261 - 'v'
 2024-01-25 20:39:35,414 - 'b'
 2024-01-25 20:39:35,527 - 'c'
 2024-01-25 20:39:35,562 - 'v'
 2024-01-25 20:39:35,678 - 'b'
 2024-01-25 20:39:35,840 - 'c'
 2024-01-25 20:39:35,876 - 'v'
 2024-01-25 20:39:36,030 - 'b'
 2024-01-25 20:39:36,178 - 'c'
 2024-01-25 20:39:36,219 - 'v'
 2024-01-25 20:39:36,442 - Key.space
 2024-01-25 20:39:36,593 - 'c'
 2024-01-25 20:39:36,783 - Key.space
 2024-01-25 20:39:37,052 - Key.space
 2024-01-25 20:40:28,511 - 'l'
 2024-01-25 20:40:28,626 - 's'
 2024-01-25 20:40:28,753 - Key.enter
 2024-01-25 20:40:36,447 - 'l'
 2024-01-25 20:40:36,563 - 's'
 2024-01-25 20:40:36,746 - Key.space
 2024-01-25 20:40:36,858 - '-'
 2024-01-25 20:40:36,981 - 'a'
 2024-01-25 20:40:37,155 - Key.enter
 2024-01-25 20:40:42,572 - 'w'
 2024-01-25 20:40:42,897 - 'i'
 2024-01-25 20:40:43,010 - 'n'
 2024-01-25 20:40:43,124 - 'd'
 2024-01-25 20:40:43,236 - 'o'
 2024-01-25 20:40:43,360 - 'w'
 2024-01-25 20:40:43,500 - 's'
 2024-01-25 20:40:43,652 - Key.space
 2024-01-25 20:40:43,969 - 'p'
 2024-01-25 20:40:44,082 - 'r'
 2024-01-25 20:40:44,234 - 'i'
 2024-01-25 20:40:44,308 - 'n'
 2024-01-25 20:40:44,383 - 't'
 2024-01-25 20:40:44,516 - Key.space
 2024-01-25 20:40:44,646 - 'a'
